"nstorm","worry","nevac","prepared","homeloc","nyear","gender","income","politics","age","zone","lat","long"
3,1,0,1,2,30,2,2,3,75,"A",41.310091,-72.142037
2,7,1,3,3,3,2,2,3,69,"A",41.2662809999999,-72.936068
2,5,0,2,1,6,2,3,4,33,"A",41.155521,-73.2333789999999
0,5,0,NA,1,60,2,5,3,81,"A",41.245303,-72.887707
2,7,0,3,3,10,2,3,5,54,"A",41.306207,-72.207246
2,4,0,2,3,11,2,5,2,66,"A",41.2785659999999,-72.550081
3,7,0,2,1,34,1,5,2,62,"A",41.251336,-72.8693949999999
2,6,1,2,1,37,2,3,3,72,"A",41.2654679999999,-72.3821159999999
2,2,0,3,3,19,1,5,2,47,"A",41.365319,-71.9591199999999
3,3,1,3,3,38,2,3,3,38,"A",41.1843829999999,-73.137083
2,6,2,3,3,4,1,5,4,58,"A",41.271875,-72.47938
2,4,0,1,2,64,1,4,2,64,"A",41.356297,-71.845625
3,6,0,3,2,5,1,NA,3,63,"A",41.0271169999999,-73.5667839999999
1,6,0,4,3,52,2,2,3,52,"A",41.17825,-73.143652
3,5,0,3,3,56,1,2,4,59,"A",41.329459,-72.106745
3,5,2,2,3,47,1,6,4,46,"A",41.276636,-72.46971
2,4,2,3,1,9,2,6,3,39,"A",41.034961,-73.547672
6,6,1,3,3,30,1,5,2,62,"A",41.0406989999999,-73.599693
7,3,0,2,3,38,1,5,4,55,"A",41.3546899999999,-72.171795
5,7,0,3,1,40,1,2,NA,47,"A",41.158884,-73.226755
1,1,0,2,2,NA,NA,NA,NA,NA,"A",41.1499749999999,-73.131332
2,1,2,1,1,10,1,5,4,61,"A",41.2824189999999,-72.399748
3,5,0,3,1,12,2,3,2,65,"A",41.034716,-73.595618
1,4,1,1,1,31,2,3,3,62,"A",41.348464,-71.9623359999999
1,6,1,2,1,14,1,3,3,80,"A",41.2482,-72.861711
3,4,1,4,1,15,1,2,3,63,"A",41.247377,-72.86955
1,5,0,2,3,29,2,5,3,29,"A",41.3061859999999,-72.234419
2,6,1,4,1,8,2,6,2,34,"A",41.2619479999999,-72.8211009999999
2,3,0,2,3,9,2,4,3,59,"A",41.262141,-72.8922299999999
5,7,2,1,1,46,2,3,3,81,"A",41.138331,-73.253714
2,6,1,3,3,26,2,3,3,51,"A",41.214695,-73.038798
4,7,1,2,3,25,2,2,3,53,"A",41.356006,-71.9626439999999
1,7,0,3,3,15,1,3,3,75,"A",41.261488,-72.831287
1,4,1,5,3,2,2,5,3,30,"A",41.157665,-73.114134
2,4,0,3,3,58,2,1,2,61,"A",41.315004,-72.873174
2,2,2,3,1,14,2,3,3,70,"A",41.281395,-72.929871
2,4,1,4,1,18,1,6,3,53,"A",41.2779219999999,-72.6321729999999
